t_s,ground_station,serving_sat,serving_el_deg,src_sat,path,hops,prop_delay_ms,reachable
2340,Tokyo,0,14.11,0,0→6,1,5.219,True
2340,Sao-Paulo,,,0,UNREACHABLE,,,False
2350,Tokyo,0,12.95,0,0→6,1,5.437,True
2350,Sao-Paulo,,,0,UNREACHABLE,,,False
2360,Tokyo,0,11.85,0,0→6,1,5.655,True
2360,Sao-Paulo,,,0,UNREACHABLE,,,False
2370,Tokyo,0,10.81,0,0→6,1,5.875,True
2370,Sao-Paulo,,,0,UNREACHABLE,,,False
2380,Tokyo,,,0,UNREACHABLE,,,False
2380,Sao-Paulo,,,0,UNREACHABLE,,,False
2390,Tokyo,,,0,UNREACHABLE,,,False
2390,Sao-Paulo,,,0,UNREACHABLE,,,False
2400,Tokyo,,,0,UNREACHABLE,,,False
2400,Sao-Paulo,,,0,UNREACHABLE,,,False
2410,Tokyo,,,0,UNREACHABLE,,,False
2410,Sao-Paulo,,,0,UNREACHABLE,,,False
2420,Tokyo,,,0,UNREACHABLE,,,False
2420,Sao-Paulo,,,0,UNREACHABLE,,,False
2430,Tokyo,,,0,UNREACHABLE,,,False
